7:23:08.155 -> Updated PWM: 8070
17:23:09.115 -> Speed: 8070 | Hall: 168 | RPS: 25 | RPSV: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,24,22,24,21,25
17:23:10.098 -> Speed: 8070 | Hall: 381 | RPS: 17 | RPSV: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,24,22,24,21,25,22,23,28,23,17,22,29,20,17,17
17:23:11.110 -> Speed: 8070 | Hall: 571 | RPS: 22 | RPSV: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,24,22,24,21,25,22,23,28,23,17,22,29,20,17,17,16,14,20,21,16,19,16,18,22,22
17:23:12.086 -> Speed: 8070 | Hall: 796 | RPS: 18 | RPSV: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,24,22,24,21,25,22,23,28,23,17,22,29,20,17,17,16,14,20,21,16,19,16,18,22,22,23,25,22,23,26,24,26,25,18,18
17:23:13.086 -> Speed: 8070 | Hall: 953 | RPS: 15 | RPSV: 0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,24,22,24,21,25,22,23,28,23,17,22,29,20,17,17,16,14,20,21,16,19,16,18,22,22,23,25,22,23,26,24,26,25,18,18,17,15,16,16,15,15,17,15,15,15
17:23:14.112 -> Speed: 8070 | Hall: 1113 | RPS: 15 | RPSV: 0,0,0,8,24,24,22,24,21,25,22,23,28,23,17,22,29,20,17,17,16,14,20,21,16,19,16,18,22,22,23,25,22,23,26,24,26,25,18,18,17,15,16,16,15,15,17,15,15,15,18,15,15,16,19,16,15,15,17,15
17:23:15.125 -> Speed: 8070 | Hall: 1274 | RPS: 17 | RPSV: 22,23,28,23,17,22,29,20,17,17,16,14,20,21,16,19,16,18,22,22,23,25,22,23,26,24,26,25,18,18,17,15,16,16,15,15,17,15,15,15,18,15,15,16,19,16,15,15,17,15,17,18,15,15,15,15,17,15,16,17
17:23:16.126 -> Speed: 8070 | Hall: 1428 | RPS: 14 | RPSV: 16,14,20,21,16,19,16,18,22,22,23,25,22,23,26,24,26,25,18,18,17,15,16,16,15,15,17,15,15,15,18,15,15,16,19,16,15,15,17,15,17,18,15,15,15,15,17,15,16,17,17,15,17,16,15,16,15,16,15,14
17:23:17.095 -> Speed: 8070 | Hall: 1583 | RPS: 17 | RPSV: 23,25,22,23,26,24,26,25,18,18,17,15,16,16,15,15,17,15,15,15,18,15,15,16,19,16,15,15,17,15,17,18,15,15,15,15,17,15,16,17,17,15,17,16,15,16,15,16,15,14,16,16,15,16,15,15,15,15,15,17
17:23:18.128 -> Speed: 8070 | Hall: 1738 | RPS: 16 | RPSV: 17,15,16,16,15,15,17,15,15,15,18,15,15,16,19,16,15,15,17,15,17,18,15,15,15,15,17,15,16,17,17,15,17,16,15,16,15,16,15,14,16,16,15,16,15,15,15,15,15,17,16,16,15,17,16,15,15,15,14,16
17:23:19.141 -> Speed: 8070 | Hall: 1894 | RPS: 15 | RPSV: 18,15,15,16,19,16,15,15,17,15,17,18,15,15,15,15,17,15,16,17,17,15,17,16,15,16,15,16,15,14,16,16,15,16,15,15,15,15,15,17,16,16,15,17,16,15,15,15,14,16,15,15,16,16,16,16,14,14,18,15
17:23:20.086 -> Speed: 8070 | Hall: 2049 | RPS: 16 | RPSV: 17,18,15,15,15,15,17,15,16,17,17,15,17,16,15,16,15,16,15,14,16,16,15,16,15,15,15,15,15,17,16,16,15,17,16,15,15,15,14,16,15,15,16,16,16,16,14,14,18,15,17,15,14,17,15,15,17,14,17,16
17:23:21.111 -> Speed: 8070 | Hall: 2204 | RPS: 14 | RPSV: 17,15,17,16,15,16,15,16,15,14,16,16,15,16,15,15,15,15,15,17,16,16,15,17,16,15,15,15,14,16,15,15,16,16,16,16,14,14,18,15,17,15,14,17,15,15,17,14,17,16,14,15,14,16,14,16,18,17,16,14
17:23:22.110 -> Speed: 8070 | Hall: 2352 | RPS: 14 | RPSV: 16,16,15,16,15,15,15,15,15,17,16,16,15,17,16,15,15,15,14,16,15,15,16,16,16,16,14,14,18,15,17,15,14,17,15,15,17,14,17,16,14,15,14,16,14,16,18,17,16,14,16,15,14,16,15,14,15,16,14,14
17:23:23.087 -> Speed: 8070 | Hall: 2504 | RPS: 15 | RPSV: 16,16,15,17,16,15,15,15,14,16,15,15,16,16,16,16,14,14,18,15,17,15,14,17,15,15,17,14,17,16,14,15,14,16,14,16,18,17,16,14,16,15,14,16,15,14,15,16,14,14,15,14,15,15,16,16,16,15,15,15
17:23:24.141 -> Speed: 8070 | Hall: 2650 | RPS: 15 | RPSV: 15,15,16,16,16,16,14,14,18,15,17,15,14,17,15,15,17,14,17,16,14,15,14,16,14,16,18,17,16,14,16,15,14,16,15,14,15,16,14,14,15,14,15,15,16,16,16,15,15,15,14,16,14,15,14,14,15,15,15,15
17:23:25.086 -> Speed: 8070 | Hall: 2793 | RPS: 14 | RPSV: 17,15,14,17,15,15,17,14,17,16,14,15,14,16,14,16,18,17,16,14,16,15,14,16,15,14,15,16,14,14,15,14,15,15,16,16,16,15,15,15,14,16,14,15,14,14,15,15,15,15,14,14,14,14,14,16,14,14,14,14
17:23:26.086 -> Speed: 8070 | Hall: 2943 | RPS: 15 | RPSV: 14,15,14,16,14,16,18,17,16,14,16,15,14,16,15,14,15,16,14,14,15,14,15,15,16,16,16,15,15,15,14,16,14,15,14,14,15,15,15,15,14,14,14,14,14,16,14,14,14,14,15,15,14,14,16,14,16,13,18,15
17:23:27.155 -> Speed: 8070 | Hall: 3087 | RPS: 15 | RPSV: 16,15,14,16,15,14,15,16,14,14,15,14,15,15,16,16,16,15,15,15,14,16,14,15,14,14,15,15,15,15,14,14,14,14,14,16,14,14,14,14,15,15,14,14,16,14,16,13,18,15,14,15,15,14,13,14,16,14,14,15
17:23:28.110 -> Speed: 8070 | Hall: 3228 | RPS: 15 | RPSV: 15,14,15,15,16,16,16,15,15,15,14,16,14,15,14,14,15,15,15,15,14,14,14,14,14,16,14,14,14,14,15,15,14,14,16,14,16,13,18,15,14,15,15,14,13,14,16,14,14,15,15,14,14,15,13,15,14,14,14,15
17:23:29.124 -> Speed: 8070 | Hall: 3369 | RPS: 13 | RPSV: 14,16,14,15,14,14,15,15,15,15,14,14,14,14,14,16,14,14,14,14,15,15,14,14,16,14,16,13,18,15,14,15,15,14,13,14,16,14,14,15,15,14,14,15,13,15,14,14,14,15,13,15,13,14,15,14,15,13,14,13
17:23:30.116 -> Speed: 8070 | Hall: 3518 | RPS: 15 | RPSV: 14,14,14,14,14,16,14,14,14,14,15,15,14,14,16,14,16,13,18,15,14,15,15,14,13,14,16,14,14,15,15,14,14,15,13,15,14,14,14,15,13,15,13,14,15,14,15,13,14,13,15,14,14,15,14,17,15,14,16,15
